Date,Time,Open,High,Low,Close,Tick volume
2023.05.01,00:00:00,1.10106,1.10355,1.09643,1.09687,79405
2023.05.02,00:00:00,1.09687,1.10137,1.09422,1.10107,103286
2023.05.03,00:00:00,1.1011,1.10916,1.10048,1.10685,119727
2023.05.04,00:00:00,1.10686,1.10917,1.0986,1.10229,133665
2023.05.05,00:00:00,1.10229,1.10477,1.09667,1.10162,97511
2023.05.07,00:00:00,1.10209,1.10228,1.10141,1.10181,3679
2023.05.08,00:00:00,1.10182,1.10535,1.09953,1.09965,73852
2023.05.09,00:00:00,1.09962,1.10007,1.0941,1.09645,80693
2023.05.10,00:00:00,1.09644,1.10068,1.09414,1.09824,98021
2023.05.11,00:00:00,1.09826,1.09981,1.09,1.09122,108621
2023.05.12,00:00:00,1.09122,1.09354,1.08476,1.08477,83432
2023.05.14,00:00:00,1.0861,1.08618,1.08453,1.08527,3884
2023.05.15,00:00:00,1.08526,1.08908,1.0848,1.08735,78646
2023.05.16,00:00:00,1.08736,1.09046,1.0855,1.08653,94251
2023.05.17,00:00:00,1.08653,1.08736,1.08102,1.08378,94643
2023.05.18,00:00:00,1.08377,1.08479,1.07624,1.07749,90384
2023.05.19,00:00:00,1.07749,1.08287,1.076,1.08019,105940
2023.05.21,00:00:00,1.08043,1.08241,1.08043,1.08218,3382
2023.05.22,00:00:00,1.08219,1.08313,1.07955,1.08104,97628
2023.05.23,00:00:00,1.08105,1.08204,1.07601,1.07691,98595
2023.05.24,00:00:00,1.0769,1.08012,1.07421,1.07555,111176
2023.05.25,00:00:00,1.07556,1.07556,1.07073,1.07234,104949
2023.05.26,00:00:00,1.07233,1.07585,1.07018,1.07227,98351
2023.05.28,00:00:00,1.07201,1.07292,1.07158,1.07214,3367
2023.05.29,00:00:00,1.07214,1.07434,1.07054,1.07067,43807
2023.05.30,00:00:00,1.07067,1.07465,1.06725,1.07316,103859
2023.05.31,00:00:00,1.07316,1.07356,1.06352,1.06933,113263
2023.06.01,00:00:00,1.06934,1.07684,1.06617,1.07604,104176
2023.06.02,00:00:00,1.07603,1.07789,1.0705,1.07063,92611
2023.06.04,00:00:00,1.07098,1.07107,1.06937,1.06967,3926
2023.06.05,00:00:00,1.0697,1.07224,1.06744,1.07113,81906
2023.06.06,00:00:00,1.07112,1.07328,1.06669,1.06984,78664
2023.06.07,00:00:00,1.06985,1.07396,1.06682,1.07069,83433
2023.06.08,00:00:00,1.0707,1.07869,1.07009,1.07818,80650
2023.06.09,00:00:00,1.07819,1.0785,1.07428,1.07456,73867
2023.06.11,00:00:00,1.07459,1.07515,1.07431,1.07499,2542
2023.06.12,00:00:00,1.07499,1.079,1.0733,1.07622,77355
2023.06.13,00:00:00,1.07621,1.08234,1.07591,1.07895,97764
2023.06.14,00:00:00,1.07896,1.0864,1.07739,1.08427,99681
2023.06.15,00:00:00,1.08427,1.09525,1.08036,1.09455,100588
2023.06.16,00:00:00,1.09455,1.09704,1.09178,1.09376,91402
2023.06.18,00:00:00,1.09302,1.09429,1.09301,1.09397,3420
2023.06.19,00:00:00,1.09398,1.09462,1.0907,1.09235,60451
2023.06.20,00:00:00,1.09234,1.09461,1.08921,1.09198,97795
2023.06.21,00:00:00,1.09197,1.09923,1.09058,1.09915,106345
2023.06.22,00:00:00,1.09916,1.10122,1.09485,1.09554,101278
2023.06.23,00:00:00,1.09555,1.09585,1.08443,1.08905,108886
2023.06.25,00:00:00,1.09042,1.0907,1.08978,1.09062,4990
2023.06.26,00:00:00,1.09064,1.092,1.08873,1.09099,84431
2023.06.27,00:00:00,1.09097,1.09766,1.09021,1.09575,97714
2023.06.28,00:00:00,1.09574,1.09621,1.08968,1.09151,101367
2023.06.29,00:00:00,1.09151,1.09414,1.08601,1.08673,104685
2023.06.30,00:00:00,1.08673,1.09317,1.08352,1.09095,103216
2023.07.02,00:00:00,1.09094,1.0913,1.09064,1.09075,3029
2023.07.03,00:00:00,1.09075,1.09339,1.08702,1.09128,86069
2023.07.04,00:00:00,1.09127,1.09163,1.08768,1.08824,53287
