Date,Time,Open,High,Low,Close,Tick volume
2023.05.01,00:00:00,1.10106,1.10143,1.10007,1.1014,9326
2023.05.01,04:00:00,1.10143,1.10143,1.09947,1.10033,11854
2023.05.01,08:00:00,1.10033,1.1014,1.09882,1.10133,11569
2023.05.01,12:00:00,1.10134,1.10355,1.09661,1.09692,30441
2023.05.01,16:00:00,1.09692,1.09756,1.09643,1.09727,11377
2023.05.01,20:00:00,1.09727,1.09766,1.09672,1.09687,4838
2023.05.02,00:00:00,1.09687,1.09943,1.09685,1.09839,9563
2023.05.02,04:00:00,1.0984,1.10066,1.0979,1.09855,18865
2023.05.02,08:00:00,1.09855,1.09865,1.0948,1.09676,23505
2023.05.02,12:00:00,1.09676,1.09975,1.09422,1.09965,35771
2023.05.02,16:00:00,1.09964,1.10078,1.0994,1.10057,11343
2023.05.02,20:00:00,1.10057,1.10137,1.09975,1.10107,4239
2023.05.03,00:00:00,1.1011,1.10297,1.10048,1.10294,7282
2023.05.03,04:00:00,1.10294,1.10411,1.10142,1.10343,13050
2023.05.03,08:00:00,1.10344,1.10468,1.10296,1.10395,16560
2023.05.03,12:00:00,1.10396,1.10593,1.1022,1.10478,28735
2023.05.03,16:00:00,1.10478,1.10916,1.10371,1.10544,43053
2023.05.03,20:00:00,1.10544,1.1078,1.10515,1.10685,11047
2023.05.04,00:00:00,1.10686,1.10875,1.10686,1.10812,12964
2023.05.04,04:00:00,1.10812,1.10917,1.10521,1.10578,18921
2023.05.04,08:00:00,1.10578,1.10765,1.10364,1.10743,21795
2023.05.04,12:00:00,1.10743,1.10842,1.0986,1.10082,59061
2023.05.04,16:00:00,1.10083,1.10315,1.10079,1.10146,16471
2023.05.04,20:00:00,1.10145,1.10244,1.10095,1.10229,4453
2023.05.05,00:00:00,1.10229,1.10444,1.10188,1.10439,9181
2023.05.05,04:00:00,1.10441,1.10477,1.10256,1.10267,16461
2023.05.05,08:00:00,1.10268,1.10319,1.10085,1.10093,16170
2023.05.05,12:00:00,1.10092,1.10267,1.09667,1.10245,39365
2023.05.05,16:00:00,1.10246,1.10365,1.10096,1.10182,14131
2023.05.05,20:00:00,1.10183,1.10197,1.10154,1.10162,2203
2023.05.07,20:00:00,1.10209,1.10228,1.10141,1.10181,3679
2023.05.08,00:00:00,1.10182,1.10399,1.10167,1.1039,9871
2023.05.08,04:00:00,1.1039,1.10505,1.10366,1.10492,12015
2023.05.08,08:00:00,1.10491,1.10535,1.10227,1.1035,16938
2023.05.08,12:00:00,1.10349,1.10442,1.10115,1.10196,20579
2023.05.08,16:00:00,1.10197,1.10292,1.10001,1.10017,9881
2023.05.08,20:00:00,1.10016,1.10054,1.09953,1.09965,4568
2023.05.09,00:00:00,1.09962,1.09974,1.09849,1.09936,10233
2023.05.09,04:00:00,1.09939,1.10007,1.09727,1.09779,15866
2023.05.09,08:00:00,1.0978,1.09862,1.0959,1.09635,16001
2023.05.09,12:00:00,1.09635,1.09671,1.0941,1.09527,22620
2023.05.09,16:00:00,1.09527,1.09724,1.09492,1.09627,11262
2023.05.09,20:00:00,1.09627,1.09688,1.09468,1.09645,4711
2023.05.10,00:00:00,1.09644,1.09772,1.09644,1.09761,8228
2023.05.10,04:00:00,1.0976,1.09824,1.09623,1.09646,13194
2023.05.10,08:00:00,1.09646,1.09647,1.09458,1.0949,18149
2023.05.10,12:00:00,1.09489,1.10068,1.09414,1.09651,41273
2023.05.10,16:00:00,1.09652,1.09848,1.09616,1.09824,13028
2023.05.10,20:00:00,1.09823,1.0987,1.09794,1.09824,4149
2023.05.11,00:00:00,1.09826,1.09981,1.09735,1.09744,10731
2023.05.11,04:00:00,1.09744,1.09822,1.09241,1.093,19643
2023.05.11,08:00:00,1.093,1.09382,1.0918,1.09315,24855
2023.05.11,12:00:00,1.09315,1.09481,1.09,1.09155,38383
2023.05.11,16:00:00,1.09155,1.0929,1.09106,1.0917,10899
2023.05.11,20:00:00,1.09169,1.09199,1.09115,1.09122,4110
2023.05.12,00:00:00,1.09122,1.09252,1.09122,1.09222,10020
2023.05.12,04:00:00,1.09221,1.09354,1.09061,1.09076,16236
2023.05.12,08:00:00,1.09076,1.09172,1.08891,1.08919,16707
2023.05.12,12:00:00,1.08919,1.08973,1.08542,1.08555,27349
2023.05.12,16:00:00,1.08553,1.08569,1.08484,1.08517,11220
2023.05.12,20:00:00,1.08519,1.08521,1.08476,1.08477,1900
2023.05.14,20:00:00,1.0861,1.08618,1.08453,1.08527,3884
2023.05.15,00:00:00,1.08526,1.08643,1.0848,1.08599,11744
2023.05.15,04:00:00,1.08598,1.08771,1.08572,1.08739,13853
2023.05.15,08:00:00,1.08738,1.08805,1.08554,1.08775,15707
2023.05.15,12:00:00,1.08775,1.08908,1.08639,1.08732,23047
2023.05.15,16:00:00,1.08732,1.08788,1.08676,1.0875,9898
2023.05.15,20:00:00,1.08749,1.08772,1.08727,1.08735,4397
2023.05.16,00:00:00,1.08736,1.08845,1.08682,1.08824,9703
2023.05.16,04:00:00,1.08823,1.08945,1.08628,1.08884,17111
2023.05.16,08:00:00,1.08884,1.09046,1.0885,1.08868,17014
2023.05.16,12:00:00,1.08871,1.08896,1.0855,1.08645,33531
2023.05.16,16:00:00,1.08648,1.0872,1.0858,1.08628,12279
2023.05.16,20:00:00,1.08628,1.08655,1.08602,1.08653,4613
2023.05.17,00:00:00,1.08653,1.08736,1.08621,1.08654,11585
2023.05.17,04:00:00,1.08654,1.08676,1.08312,1.08317,16987
2023.05.17,08:00:00,1.08317,1.0848,1.08205,1.08251,20047
2023.05.17,12:00:00,1.08249,1.08389,1.08102,1.08292,29315
2023.05.17,16:00:00,1.08292,1.0849,1.08289,1.08397,12886
2023.05.17,20:00:00,1.08397,1.08444,1.08347,1.08378,3823
2023.05.18,00:00:00,1.08377,1.08479,1.08348,1.08398,11876
2023.05.18,04:00:00,1.08398,1.08404,1.08091,1.08161,14901
2023.05.18,08:00:00,1.08165,1.08221,1.08055,1.0815,17116
2023.05.18,12:00:00,1.0815,1.08178,1.07631,1.07752,29490
2023.05.18,16:00:00,1.07752,1.07811,1.07624,1.07739,12526
2023.05.18,20:00:00,1.0774,1.07767,1.07687,1.07749,4475
2023.05.19,00:00:00,1.07749,1.078,1.076,1.07683,13660
